,,,,,,,,,,,,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,
15,y Andy Pettitte\pettian01,2nd,45,11.30%,128,44,18,60.2,34.1,47.2,61.6,108,196,6,27,1,13,0,6,0.138,0.163,0.184,0.346,-10,256,153,3.85,117,1.351,531,521,0,3316,3448,288,1031,2448,*1/H
16,y Bobby Abreu\abreubo01,1st,22,5.50%,95,54,18,60.2,41.6,50.9,57.2,2425,8480,1453,2470,288,1363,400,1476,0.291,0.395,0.475,0.87,128,,,,,,,,,,,,,,*9DH7/8
17,y X-Paul Konerko\konerpa01,1st,10,2.50%,80,36,18,28,21.5,24.8,54.8,2349,8393,1162,2340,439,1412,9,921,0.279,0.354,0.486,0.841,118,,,,,,,,,,,,,,*3*DH/57
18,y X-Jason Giambi\giambja01,1st,6,1.50%,108,44,20,50.5,42.2,46.3,54.8,2260,7267,1227,2010,440,1441,20,1366,0.277,0.399,0.516,0.916,139,,,,,,,,,,,,,,*3*DH75/9
19,y X-Alfonso Soriano\soriaal01,1st,6,1.50%,105,31,16,28.6,27.6,28.1,53.6,1975,7750,1152,2095,412,1159,289,496,0.27,0.319,0.5,0.819,112,,,,,,,,,,,,,,*7*4DH/9856
20,y X-Eric Chavez\chaveer01,1st,2,0.50%,29,25,17,38.3,31.1,34.7,55.7,1615,5518,816,1477,260,902,50,639,0.268,0.342,0.475,0.818,115,,,,,,,,,,,,,,*5HD/367
21,y X-Cliff Lee\leecl02,1st,2,0.50%,72,30,13,43.2,39.7,41.4,61.6,133,291,18,51,2,19,2,5,0.175,0.189,0.227,0.415,13,143,91,3.52,118,1.196,328,324,0,2156.2,2116,223,464,1824,*1/H
22,y X-Raul Ibanez\ibanera01,1st,1,0.30%,38,27,19,20.9,20.1,20.5,53.6,2161,7471,1055,2034,305,1207,50,713,0.272,0.335,0.465,0.801,111,,,,,,,,,,,,,,*7*DH93/852
23,y X-J.J. Putz\putzjj01,1st,1,0.30%,25,17,12,13.1,12.9,13,32.6,212,0,0,0,0,0,0,0,,,,,,37,33,3.08,138,1.152,572,0,189,566.2,469,50,184,599,*1
24,y X-Brad Penny\pennybr01,1st,1,0.30%,23,11,14,18.9,21.4,20.1,61.6,288,529,27,83,3,34,0,3,0.157,0.166,0.214,0.38,-1,121,101,4.29,99,1.376,349,319,0,1925,2030,194,619,1273,*1/H
25,y X-Adam Dunn\dunnad01,1st,1,0.30%,75,32,14,18,17.7,17.8,53.6,2001,6883,1097,1631,462,1168,63,1317,0.237,0.364,0.49,0.854,124,0,0,9,76,3,1,0,0,1,2,0,1,0,*7*3*D9H/1
26,y X-Carlos Pena\penaca01,1st,0,0.00%,25,18,14,25.5,24.1,24.8,54.8,1493,4949,745,1146,286,818,29,817,0.232,0.346,0.462,0.808,117,,,,,,,,,,,,,,*3DH/7
27,y X-Heath Bell\bellhe01,1st,0,0.00%,31,13,11,7.1,8.9,8,32.6,549,6,0,0,0,0,0,0,0,0,0,0,-100,38,32,3.49,112,1.269,590,0,168,628.2,584,48,214,637,*1
28,y X-Rafael Furcal\furcara02,1st,0,0.00%,54,32,14,39.5,30.7,35.1,55.3,1614,6477,1063,1817,113,587,314,643,0.281,0.346,0.402,0.748,96,,,,,,,,,,,,,,*6H4
29,y X-Brian Roberts\roberbr01,1st,0,0.00%,34,24,14,29.5,28.1,28.8,57,1418,5531,850,1527,97,542,285,609,0.276,0.347,0.409,0.756,101,,,,,,,,,,,,,,*4H6D
30,y X-Jose Valverde\valvejo01,1st,0,0.00%,51,13,12,11.5,12,11.7,32.6,387,2,1,1,0,0,0,0,0.5,0.5,1,1.5,276,27,33,3.27,133,1.196,626,0,288,630.1,490,67,264,692,*1
31,y X-Chone Figgins\figgich01,1st,0,0.00%,18,19,12,22,22.5,22.3,55.7,1282,4701,708,1298,35,403,341,540,0.276,0.349,0.363,0.712,92,,,,,,,,,,,,,,*5487H/69D
32,y X-Josh Beckett\beckejo02,1st,0,0.00%,43,23,14,35.7,31.2,33.4,61.6,153,289,19,41,3,18,0,12,0.142,0.175,0.215,0.39,4,138,106,3.88,111,1.232,335,332,0,2051,1897,238,629,1901,*1
