,,,,,,,,,,,,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,
Rk,Name,YoB,Votes,%vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G,GS,SV,IP,H,HR,BB,SO,Pos Summary
1,y Jeff Bagwell\bagweje01,7th,381,86.2%,150,59,15,79.9,48.3,64.1,54.8,2150,7797,1517,2314,449,1529,202,1401,.297,.408,.540,.948,149,,,,,,,,,,,,,,*3H/D9
2,y Tim Raines\raineti01,10th,380,86.0%,91,47,23,69.4,42.4,55.9,53.6,2502,8872,1571,2605,170,980,808,1330,.294,.385,.425,.810,123,,,,,,,,,,,,,,*7H8D4/9
3,y Ivan Rodriguez\rodriiv01,1st,336,76.0%,226,59,21,68.7,39.8,54.3,44.2,2543,9592,1354,2844,311,1332,127,513,.296,.334,.464,.798,106,,,,,,,,,,,,,,*2HD/34
4,y Trevor Hoffman HOF\hoffmtr01,2nd,327,74.0%,159,19,18,28.0,19.4,23.7,32.6,1007,34,1,4,0,5,0,0,.118,.118,.176,.294,-22,61,75,2.87,141,1.058,1035,0,601,1089.1,846,100,307,1133,*1
5,y Vladimir Guerrero HOF\guerrvl01,1st,317,71.7%,209,59,16,59.5,41.2,50.3,57.2,2147,8155,1328,2590,449,1496,181,737,.318,.379,.553,.931,140,,,,,,,,,,,,,,*9*DH/87
6,y Edgar Martinez HOF\martied01,8th,259,58.6%,132,50,18,68.4,43.7,56.0,55.7,2055,7213,1219,2247,309,1261,49,1283,.312,.418,.515,.933,147,,,,,,,,,,,,,,*D*5H/3
7,y Roger Clemens\clemero02,5th,239,54.1%,332,73,24,139.2,65.9,102.6,61.6,95,179,5,31,0,12,0,13,.173,.236,.207,.443,17,354,184,3.12,143,1.173,709,707,0,4916.2,4185,363,1580,4672,*1
8,y Barry Bonds\bondsba01,5th,238,53.8%,340,77,22,162.8,72.7,117.7,53.6,2986,9847,2227,2935,762,1996,514,2558,.298,.444,.607,1.051,182,,,,,,,,,,,,,,*78HD/9
9,y Mike Mussina HOF\mussimi01,4th,229,51.8%,121,54,18,82.8,44.5,63.6,61.6,22,52,3,9,0,5,0,1,.173,.189,.192,.381,1,270,153,3.68,123,1.192,537,536,0,3562.2,3460,376,785,2813,*1
